theta_deg    D(разы)        D(дБ)
103.6036  1.510509e+00    1.7912
103.7838  1.507173e+00    1.7816
103.9640  1.503801e+00    1.7719
104.1441  1.500392e+00    1.7620
104.3243  1.496947e+00    1.7521
104.5045  1.493466e+00    1.7420
104.6847  1.489949e+00    1.7317
104.8649  1.486397e+00    1.7213
105.0450  1.482811e+00    1.7109
105.2252  1.479189e+00    1.7002
105.4054  1.475533e+00    1.6895
105.5856  1.471843e+00    1.6786
105.7658  1.468119e+00    1.6676
105.9459  1.464362e+00    1.6565
106.1261  1.460571e+00    1.6452
106.3063  1.456748e+00    1.6338
106.4865  1.452891e+00    1.6223
106.6667  1.449002e+00    1.6107
106.8468  1.445082e+00    1.5989
107.0270  1.441129e+00    1.5870
107.2072  1.437145e+00    1.5750
107.3874  1.433130e+00    1.5629
107.5676  1.429083e+00    1.5506
107.7477  1.425007e+00    1.5382
107.9279  1.420900e+00    1.5256
108.1081  1.416763e+00    1.5130
108.2883  1.412596e+00    1.5002
108.4685  1.408401e+00    1.4873
108.6486  1.404176e+00    1.4742
108.8288  1.399922e+00    1.4610
109.0090  1.395640e+00    1.4477
109.1892  1.391330e+00    1.4343
109.3694  1.386993e+00    1.4207
109.5495  1.382628e+00    1.4071
109.7297  1.378235e+00    1.3932
109.9099  1.373817e+00    1.3793
110.0901  1.369371e+00    1.3652
110.2703  1.364900e+00    1.3510
110.4504  1.360403e+00    1.3367
110.6306  1.355880e+00    1.3222
110.8108  1.351332e+00    1.3076
110.9910  1.346759e+00    1.2929
111.1712  1.342162e+00    1.2781
111.3513  1.337541e+00    1.2631
111.5315  1.332896e+00    1.2480
111.7117  1.328228e+00    1.2327
111.8919  1.323536e+00    1.2174
112.0721  1.318822e+00    1.2019
112.2522  1.314085e+00    1.1862
112.4324  1.309326e+00    1.1705
112.6126  1.304546e+00    1.1546
112.7928  1.299743e+00    1.1386
112.9730  1.294920e+00    1.1224
113.1531  1.290076e+00    1.1062
113.3333  1.285211e+00    1.0897
113.5135  1.280327e+00    1.0732
113.6937  1.275423e+00    1.0565
113.8739  1.270499e+00    1.0397
114.0540  1.265556e+00    1.0228
114.2342  1.260594e+00    1.0058
114.4144  1.255614e+00    0.9886
114.5946  1.250616e+00    0.9712
114.7748  1.245600e+00    0.9538
114.9549  1.240567e+00    0.9362
115.1351  1.235517e+00    0.9185
115.3153  1.230450e+00    0.9006
115.4955  1.225367e+00    0.8827
115.6757  1.220267e+00    0.8645
115.8558  1.215152e+00    0.8463
116.0360  1.210022e+00    0.8279
116.2162  1.204876e+00    0.8094
116.3964  1.199716e+00    0.7908
116.5766  1.194542e+00    0.7720
116.7567  1.189353e+00    0.7531
116.9369  1.184151e+00    0.7341
117.1171  1.178936e+00    0.7149
117.2973  1.173708e+00    0.6956
117.4775  1.168466e+00    0.6762
117.6576  1.163213e+00    0.6566
117.8378  1.157948e+00    0.6369
118.0180  1.152671e+00    0.6171
118.1982  1.147382e+00    0.5971
118.3784  1.142083e+00    0.5770
118.5585  1.136773e+00    0.5567
118.7387  1.131453e+00    0.5364
118.9189  1.126122e+00    0.5159
119.0991  1.120782e+00    0.4952
119.2793  1.115433e+00    0.4744
119.4594  1.110075e+00    0.4535
119.6396  1.104708e+00    0.4325
119.8198  1.099332e+00    0.4113
120.0000  1.093949e+00    0.3900
120.1802  1.088558e+00    0.3685
120.3603  1.083159e+00    0.3469
120.5405  1.077754e+00    0.3252
120.7207  1.072341e+00    0.3033
120.9009  1.066923e+00    0.2813
121.0811  1.061498e+00    0.2592
121.2612  1.056067e+00    0.2369
121.4414  1.050631e+00    0.2145
121.6216  1.045190e+00    0.1920
121.8018  1.039744e+00    0.1693
121.9820  1.034293e+00    0.1464
122.1621  1.028838e+00    0.1235
122.3423  1.023380e+00    0.1004
122.5225  1.017917e+00    0.0771
122.7027  1.012452e+00    0.0537
122.8829  1.006983e+00    0.0302
123.0630  1.001512e+00    0.0066
123.2432  9.960382e-01   -0.0172
123.4234  9.905625e-01   -0.0412
123.6036  9.850850e-01   -0.0653
123.7838  9.796060e-01   -0.0895
123.9639  9.741259e-01   -0.1138
124.1441  9.686448e-01   -0.1384
124.3243  9.631632e-01   -0.1630
124.5045  9.576812e-01   -0.1878
124.6847  9.521993e-01   -0.2127
124.8648  9.467176e-01   -0.2378
125.0450  9.412365e-01   -0.2630
125.2252  9.357563e-01   -0.2884
125.4054  9.302772e-01   -0.3139
125.5856  9.247995e-01   -0.3395
125.7657  9.193235e-01   -0.3653
125.9459  9.138495e-01   -0.3913
126.1261  9.083778e-01   -0.4173
126.3063  9.029086e-01   -0.4436
126.4865  8.974422e-01   -0.4699
126.6666  8.919788e-01   -0.4965
126.8468  8.865189e-01   -0.5231
127.0270  8.810625e-01   -0.5499
127.2072  8.756100e-01   -0.5769
127.3874  8.701617e-01   -0.6040
127.5675  8.647177e-01   -0.6313
127.7477  8.592785e-01   -0.6587
127.9279  8.538441e-01   -0.6862
128.1081  8.484150e-01   -0.7139
128.2883  8.429913e-01   -0.7418
128.4684  8.375733e-01   -0.7698
128.6486  8.321612e-01   -0.7979
